name,title,year_joined,origin_country,education,prior_company,notable,documented_adversity
Sumbul Desai,VP Health,2017,USA,MD Virginia Commonwealth University,Stanford Health,Leads Apple health initiatives; ECG and health features,none documented
Jennifer Bailey,VP Apple Pay & Apple Wallet,2003,,,Netscape; eBay,Leads Apple Pay and Wallet,none documented
Kim Vorrath,VP Program Management,1987,,,,36-year veteran; iPhone software PM; moved to AI division in 2025,none documented
Ron Huang,VP Sensing & Connectivity,,,,,Leads sensing and connectivity; worked on AirTags,none documented
Myra Haggerty,VP Sensor Software & UX Prototyping,,,,,Leads sensor software firmware and algorithms,none documented
Jay Blahnik,VP Fitness Technologies,2013,USA,,Nike,Leads Apple Fitness technologies; fitness industry educator,none documented
Mike Rockwell,VP & head of Siri,2015,USA,,Dolby Labs,Built Vision Pro; later put in charge of Siri,none documented
Paul Meade,head of Vision Products Group,,,,,Led Vision Pro hardware engineering; now heads VPG,none documented
Alan Dye,VP Human Interface Design,2006,USA,BFA Syracuse University,Kate Spade; Ogilvy,Leads Human Interface software design,none documented
Molly Anderson,head of Industrial Design,2014,,,,Leads Apple Industrial Design team since 2024,none documented
Richard Howarth,Industrial Designer,1996,UK,,,Former head of industrial design 2015-2017; long-tenured designer,none documented
Samy Bengio,Senior Director AI & Machine Learning Research,2021,France,PhD Computer Science Universite de Montreal,Google,Leads Apple AI/ML research; brother of Yoshua Bengio,Son of Moroccan-Jewish immigrants to France
Stan Ng,VP Product Marketing,1995,,,,Apple Watch/AirPods/Health marketing; retired 2026 after 31 years,none documented
Deidre Caldbeck,Senior Director Product Marketing,,,,,Apple Watch and Health product marketing,none documented
Lori Malm,Director Services,,,,,Apple Services; Apple One leader,none documented
Joshua Susskind,Machine Learning Research Scientist,,,,,Apple ML researcher; foundation models and vision work,none documented
Navdeep Jaitly,Machine Learning Research Scientist,,,,Google Brain,Apple ML researcher; NLP and generative models,none documented
Kunal Talwar,Machine Learning Research Scientist,,,,Google,Apple ML researcher; differential privacy,none documented
Jonathon Shlens,Machine Learning Research Scientist,,,,Google,Apple ML researcher; computer vision,none documented
Mehrdad Farajtabar,Machine Learning Research Scientist,,,,DeepMind,Apple ML researcher; reasoning models paper,none documented
Russ Webb,Machine Learning Researcher,,,,,Apple ML researcher; foundation models,none documented
Yinfei Yang,Machine Learning Research Scientist,,,,Google,Apple ML researcher; multimodal models,none documented
Carlos Guestrin,Machine Learning Director,,,PhD Computer Science Stanford,University of Washington,Apple ML director and Stanford professor,none documented
Ruslan Salakhutdinov,Machine Learning Research Director,2016,,PhD University of Toronto,Carnegie Mellon University,Former Apple director of AI research; CMU professor,none documented
Phil Schiller,Apple Fellow,1987,USA,BS Biology Boston College,,Apple Fellow; leads App Store and Apple events; ex-marketing SVP,none documented
Bob Mansfield,former SVP Hardware Engineering,1999,USA,BS Electrical Engineering University of Texas Austin,Raycer Graphics,Led Mac and iPad hardware; later special projects,none documented
Dan Riccio,VP (Engineering),1998,USA,BS Mechanical Engineering UMass Amherst,,Former SVP Hardware Engineering; led Vision Pro project,none documented
Jeff Williams,former Chief Operating Officer,1998,USA,BS Mechanical Engineering NC State; MBA Duke,IBM,Former COO; led Apple Watch and health; retired 2025,none documented
Steve Hotelling,former VP,,,,,Co-inventor of Touch ID and multitouch; retired 2023,none documented
Jeff Wilcox,former Director Mac System Architecture,,,,Nvidia; Intel,Led Mac transition to Apple silicon; returned to Intel 2022,none documented
Jony Ive,former Chief Design Officer,1992,UK,BA Industrial Design Newcastle Polytechnic,Tangerine,Designed iMac iPod iPhone iPad; left Apple 2019,none documented
Evans Hankey,former VP Industrial Design,1998,USA,Industrial Design Stanford University,,Co-led design after Ive; left Apple 2023,none documented
Christopher Stringer,former Industrial Designer,1997,UK,,,Longtime industrial designer; left 2017,none documented
Imran Chaudhri,former Designer,1995,UK,,,Human interface designer; co-founded Humane; left 2017,none documented
Marc Newson,former Designer,2014,Australia,,,Renowned industrial designer; collaborated with Ive,none documented
Robert Brunner,former head of Industrial Design,1989,USA,,,Headed Apple Industrial Design Group before Ive; left 1997,none documented
Jerry Manock,former Industrial Designer,1977,USA,,,Designed Apple II housing and original Macintosh case,none documented
Hartmut Esslinger,former Design Consultant,1982,Germany,,Frog Design,Created Snow White design language for Apple,Immigrant from Germany
Tony Fadell,former SVP iPod Division,2001,USA,BS Computer Engineering University of Michigan,General Magic; Philips,Father of the iPod; later founded Nest,none documented
Scott Forstall,former SVP iOS Software,1997,USA,BS & MS Computer Science Stanford,NeXT,Led original iOS development; left 2012,none documented
Avie Tevanian,former SVP Software Engineering,1997,USA,PhD Computer Science Carnegie Mellon,NeXT,Chief software technology officer; Mach kernel architect,none documented
Jon Rubinstein,former SVP Hardware Engineering,1997,USA,BS/MS Electrical Engineering Cornell,NeXT; HP,Led iMac and iPod hardware; later Palm CEO,none documented
Fred Anderson,former CFO,1996,USA,,ADP; MagnaVox,Apple CFO during turnaround era,none documented
Ron Johnson,former SVP Retail,2000,USA,BS Economics Stanford; MBA Harvard,Target,Created Apple Store retail concept; later JCPenney CEO,none documented
Angela Ahrendts,former SVP Retail,2014,USA,BS Marketing Ball State University,Burberry,Led Apple retail and online stores; ex-Burberry CEO,none documented
Steve Wozniak,co-founder,1976,USA,BS Electrical Engineering & Computer Science UC Berkeley,Hewlett-Packard,Designed the Apple I and Apple II,none documented
Steve Jobs,co-founder & former CEO,1976,USA,Reed College (attended),Atari,Co-founded Apple; led iPhone and iPod era,Biological parents gave him up for adoption
Ronald Wayne,co-founder,1976,USA,,Atari,Third Apple co-founder; sold his stake in 1976,none documented
Mike Markkula,former CEO & early investor,1977,USA,BS/MS Electrical Engineering USC,Fairchild; Intel,Provided early funding; second/third Apple CEO,none documented
John Sculley,former CEO,1983,USA,BA Brown University; MBA Wharton,PepsiCo,Apple CEO 1983-1993; ex-PepsiCo president,none documented
Michael Spindler,former CEO,1980,Germany,,DEC; Intel,Apple CEO 1993-1996,Immigrant from Germany
Gil Amelio,former CEO,1996,USA,PhD Physics Georgia Tech,National Semiconductor,Apple CEO 1996-1997; brought back NeXT and Jobs,none documented
Jean-Louis Gassee,former President of Product Development,1981,France,,Hewlett-Packard,Led Macintosh development; later founded Be Inc.,Immigrant from France
Tom Gunter,former Machine Learning Researcher,,,,,Lead author Apple Intelligence Foundation Language Models paper,none documented
Ruoming Pang,former head of Foundation Models,,,,Google,Led Apple foundation models behind Apple Intelligence; left for Meta 2025,none documented
Shivkumar Sabesan,Applied Sensing & Health Lead,,,,,Leads applied sensing and health,none documented
Stacey Lysik,Senior Director OS Program,,,,,Leads OS program management,none documented
Jamie Erlicht,Head of Worldwide Video,2017,USA,,Sony Pictures Television,Co-leads Apple TV+ original content,none documented
Zack Van Amburg,Head of Worldwide Video,2017,USA,,Sony Pictures Television,Co-leads Apple TV+ original content,none documented
Peter Stern,former VP Services,2016,,,Time Warner Cable,Led Apple TV+ iCloud and services subscriptions; left 2023,none documented
