name,title,year_joined,origin_country,education,prior_company,notable,documented_adversity
Samuli Laine,Distinguished Research Scientist,2007,Finland,PhD Helsinki University of Technology,,Co-author of StyleGAN and GPU ray tracing research,none documented
Jaakko Lehtinen,Distinguished Research Scientist,,Finland,PhD Helsinki University of Technology,Aalto University professor,Lead author of Noise2Noise,none documented
Morgan McGuire,Distinguished Research Scientist (former),2009,,PhD Brown University,Williams College faculty,Co-author of The Graphics Codex; later joined Roblox,none documented
Koki Nagano,Principal Research Scientist,2020,Japan,PhD USC,,Digital humans; work in Blade Runner 2049 and Ready Player One,Immigrant from Japan
Shalini De Mello,Director of Research (New Experiences),,India,,,Leads AI-Mediated Reality and Interaction (AMRI) group,Immigrant from India
Ting-Chun Wang,Principal Research Scientist,,Taiwan,PhD UC Berkeley,,Lead author of pix2pixHD and vid2vid,none documented
Chen-Hsuan Lin,Senior Research Scientist,,Taiwan,PhD Carnegie Mellon University,,3D reconstruction and neural rendering,none documented
Huan Ling,Senior Research Scientist,,China,University of Toronto,,Generative video and 3D scene models at Toronto AI lab,none documented
Zan Gojcic,Research Scientist,,Slovenia,PhD ETH Zurich,,3D vision; GET3D and 3D Gaussian work at Toronto AI lab,none documented
Stan Birchfield,Principal Research Scientist and Senior Research Manager,,USA,PhD Stanford University,Clemson University faculty,Computer vision and robotics at Seattle Robotics Lab,none documented
Nathan Ratliff,Distinguished Research Scientist,,USA,PhD Carnegie Mellon University,Lula Robotics,Foundation of NVIDIA manipulation platform,none documented
Marco Pavone,Director of Autonomous Vehicle Research,,Italy,PhD MIT,Stanford University and NASA JPL,Presidential Early Career Award recipient; AV research lead,Immigrant from Italy
Zhiding Yu,Senior Research Scientist,,China,PhD Carnegie Mellon University,,Won CVPR 2024 End-to-End Driving challenge,none documented
Jose Alvarez,Director of AV Applied Research and Distinguished Scientist,,Spain,,,Leads AV applied research; OmniDrive,Immigrant from Spain
Jim Fan,Director of AI and Distinguished Research Scientist,2021,China,PhD Stanford University under Fei-Fei Li,OpenAI intern,Co-leads GEAR lab and Project GR00T,Immigrant from China
Yuke Zhu,Director and Distinguished Research Scientist,,China,PhD Stanford University,UT Austin faculty,Co-leads GEAR lab; IEEE RAS Early Career Award,Immigrant from China
Song Han,Distinguished Scientist,,China,PhD Stanford University,MIT faculty,Deep Compression and TinyML; influenced Ampere Sparse Tensor Core,Immigrant from China
Anima Anandkumar,Senior Director of AI Research (former),2018,India,PhD Cornell University,Amazon Web Services,Tensor methods and Bren Professor at Caltech,Immigrant from India
Ian Buck,VP and GM Hyperscale and HPC,2004,USA,PhD Stanford University,,Created CUDA; testified before US Congress on AI,none documented
Jonah Alben,SVP of GPU Engineering,1997,USA,BS and MS Stanford University,Silicon Graphics,Key CUDA contributor; led A100 development,none documented
Brian Kelleher,SVP of Hardware Engineering (retired),2000,USA,BS Brown University,3dfx Interactive,Led GPU product development for over two decades,none documented
Dwight Diercks,SVP of Software Engineering,1994,USA,PhD MSOE,,Built NVIDIA software organization; longtime SVP,none documented
Stephen Jones,Distinguished Engineer (CUDA Architect),,USA,,SpaceX,One of the original CUDA architects,none documented
Michael Houston,VP and Chief Architect AI Systems,,USA,PhD Stanford University,,Deep learning systems architecture,none documented
Ujval Kapasi,VP of AI and HPC Frameworks and Libraries,2009,,PhD Stanford University,Stream Processors Inc,Leads deep learning and HPC software libraries,none documented
Chris Lamb,VP of Compute Software,,USA,BS University of Illinois Urbana-Champaign,,Leads CUDA platform and compute software,none documented
Kevin Klues,Distinguished Engineer,,,,,Kubernetes Topology Manager and multi-instance GPU stack,none documented
Frans Sijstermans,VP of Hardware Engineering,2004,Netherlands,,,Leads RISC-V processors and media engines,Immigrant from the Netherlands
Gary Hicok,SVP of Automotive Hardware and Systems,1999,USA,,,Oversees NVIDIA DRIVE platforms,none documented
Ali Kani,VP and GM of Automotive,,,,Raza Microelectronics,Leads NVIDIA DRIVE end-to-end platform,none documented
Danny Shapiro,VP of Automotive,2009,USA,,,25-year veteran leading automotive division,none documented
Steve Oberlin,CTO Tesla business unit,2013,USA,,Cray Research,Worked with Seymour Cray; HPC architecture leader,none documented
Manuvir Das,Head of Enterprise Computing (former),2019,India,PhD University of Wisconsin-Madison,Dell EMC and Microsoft,Helped create Azure; led enterprise AI,Immigrant from India
Kari Briski,VP of Generative AI Software for Enterprise,,USA,,,Leads Nemotron and NeMo software,none documented
Charlie Boyle,VP and GM of DGX Systems,,USA,,Oracle and Sun,Drives DGX AI supercomputer adoption,none documented
Kimberly Powell,VP and GM of Healthcare,2008,USA,BS Northeastern University,Planar Systems,Leads worldwide healthcare business,none documented
Marc Hamilton,VP of Solutions Architecture and Engineering,,USA,BS UCLA and MS USC,HP and Sun Microsystems,Leads worldwide solutions architecture,none documented
Gilad Shainer,SVP of Networking,2020,Israel,Technion,Mellanox,Leads InfiniBand and Ethernet networking; HPC-AI Advisory Council chair,Immigrant from Israel
Kevin Deierling,SVP of Networking,2020,USA,BA UC Berkeley,Mellanox,Leads networking products and DPUs,none documented
Rev Lebaredian,VP of Omniverse and Simulation Technology,2002,USA,,Warner Brothers and Disney,Leads Omniverse and Isaac Sim,none documented
Ronnie Vasishta,SVP of Telecom,2020,UK,,Intel,Leads telecom business and AI-RAN,Immigrant from the UK
Justin Boitano,VP of Enterprise AI,,USA,,Nutanix (Frame),Leads enterprise AI and EGX,none documented
Bob Pette,VP and GM of Enterprise Platforms (retired),2009,USA,,,Led professional visualization and enterprise platforms,none documented
Greg Estes,VP of Corporate Marketing and Developer Programs (former),,USA,,,Built Inception startup program and developer community,none documented
Joe Eaton,Distinguished System Engineer for Data and Graph Analytics,,USA,PhD computational and applied mathematics,,Co-founder of RAPIDS GPU data science stack,none documented
John Nickolls,Director of Architecture for GPU Computing (deceased),,USA,PhD Stanford University,MasPar Computer,Co-led CUDA development; died 2011,none documented
