name,title,year_joined,origin_country,education,prior_company,notable,documented_adversity
Igor Babuschkin,Researcher,,Germany,,DeepMind,Co-author Codex; later co-founded xAI,none documented
Suchir Balaji,Researcher,2020,USA,BS UC Berkeley,,Co-author Codex; later whistleblower,Died in 2024; raised copyright concerns as whistleblower
Shantanu Jain,Researcher,,India,,,Co-author Codex,none documented
William Saunders,Researcher,,Canada,,,Co-author Codex; alignment,none documented
Christopher Hesse,Engineer,,USA,,,Co-author Codex; infrastructure,none documented
Andrew N. Carr,Researcher,,USA,,,Co-author Codex,none documented
Josh Achiam,Researcher; Head of Mission Alignment,2016,USA,PhD UC Berkeley,,Created Spinning Up in Deep RL; constrained RL,none documented
Vedant Misra,Researcher,,USA,,,Co-author Codex,none documented
Evan Morikawa,Engineering lead,,USA,,,Applied engineering lead; co-author Codex,none documented
Matthew Knight,Security lead,,USA,,,Co-author Codex; security,none documented
Miles Brundage,Policy Researcher; Head of Policy Research,2018,USA,PhD Arizona State University,,AI policy and AGI readiness research,none documented
Katie Mayer,Researcher,,USA,,,Co-author Codex,none documented
Peter Welinder,VP of Product and Partnerships,2017,Sweden,,Dropbox,Led robotics then product; co-author Codex,none documented
Bob McGrew,Chief Research Officer,2017,USA,Stanford,Palantir,Led research org; co-author Codex,none documented
Aravind Srinivas,Researcher,,India,PhD UC Berkeley,,Worked on CLIP-related research; later founded Perplexity,none documented
Pieter Abbeel,Research Scientist,2016,Belgium,PhD Stanford,UC Berkeley,Robotics and deep RL; co-developed RL methods,none documented
Lilian Weng,VP of Research (Safety),2018,China,PhD,,Led robotics Rubik's Cube and safety systems team,none documented
Jong Wook Kim,Member of Technical Staff,,South Korea,PhD NYU,,Co-author CLIP and Whisper,none documented
Aidan Clark,VP of Research (Training),,USA,,,Pretraining lead; GPT-4o / GPT-4.5 / o1 contributor,none documented
Liam Fedus,VP of Research; Post-training lead,,USA,PhD,Google Brain,Led post-training; Switch Transformer co-author,none documented
Barret Zoph,VP of Research,2022,USA,,Google Brain,Led post-training; NAS pioneer,none documented
Luke Metz,Researcher,,USA,,Google Brain,Post-training and ChatGPT work,none documented
Noam Brown,Research Scientist,2023,USA,PhD Carnegie Mellon,Meta FAIR,Foundational contributor to o1 reasoning; created Libratus/Pluribus,none documented
Jason Wei,Research Scientist,2023,USA,,Google Brain,Popularized chain-of-thought prompting,none documented
Hyung Won Chung,Research Scientist,2023,South Korea,PhD MIT,Google Brain,Instruction fine-tuning (Flan); scaling and reasoning,none documented
Karl Cobbe,Researcher,,USA,,,RL generalization (Procgen); o1 contributor,none documented
Szymon Sidor,Researcher,2016,Poland,MIT,,Core OpenAI Five contributor; reasoning work,none documented
Filip Wolski,Researcher,,Poland,University of Warsaw,,Co-author PPO and OpenAI Five,none documented
Susan Zhang,Researcher,,USA,,,OpenAI Five contributor,none documented
Amanda Askell,Research Scientist (Policy),2018,USA,PhD NYU,,Co-author GPT-3; AI policy and alignment,none documented
Girish Sastry,Policy Researcher,,USA,,,Co-author GPT-3 and CLIP; misuse evaluation,none documented
Gretchen Krueger,Policy Manager,,USA,,,Co-author GPT-3; model documentation,none documented
Sandhini Agarwal,Policy Researcher,,India,,,Co-author GPT-3; safety and policy,none documented
Daniel Ziegler,Researcher,,USA,,,Co-author GPT-3; RLHF fine-tuning,none documented
Arvind Neelakantan,Researcher,,India,PhD UMass Amherst,Google,Co-author GPT-3; embeddings,none documented
Pranav Shyam,Researcher,,India,,,Co-author GPT-3,none documented
Melanie Subbiah,Researcher,,USA,,,Co-author GPT-3,none documented
Rewon Child,Researcher,,USA,,,Co-author GPT-3; sparse transformers,none documented
Tim Brooks,Researcher; Sora co-lead,,USA,PhD UC Berkeley,,Co-lead Sora video generation,none documented
Bill Peebles,Researcher; Sora co-lead,2023,USA,PhD UC Berkeley,,Co-lead Sora; co-author of DiT (diffusion transformer),none documented
Lukasz Kaiser,Researcher,2021,Poland,PhD,Google Brain,Co-author Transformer; co-author Codex; reasoning,none documented
Yuri Burda,Researcher,,,,,Co-author Codex; exploration / curiosity RL,none documented
Nicholas Joseph,Researcher,,USA,,,Co-author Codex; later Anthropic,none documented
Heidy Khlaaf,Safety Engineer,,,PhD UCL,,Co-author Codex; systems safety,none documented
Marcin Andrychowicz,Researcher,,Poland,University of Warsaw,,Robotics (Dactyl/HER); RL research,none documented
Maciej Chociej,Researcher,,Poland,,,Robotics research (Rubik's Cube),none documented
Bowen Baker,Researcher,,USA,,,Multi-agent hide-and-seek; reasoning work,none documented
Ilge Akkaya,Researcher,,Turkey,PhD,,Robotics (Rubik's Cube); later applied research,none documented
